Etunimi,Lukumäärä
Mateo,141
Vikke,141
Abel,140
Miku,140
Saul,140
Adnan,139
Tyko,139
Andre,138
Holger,138
Luis,138
Misa,137
Anttu,136
George,136
Karlo,136
Rauni,136
Sulevi,136
Edgar,135
Eliot,135
Evgeny,135
Mitro,135
Jirka,134
Jyry,134
Thanh,134
Jeri,133
Micael,133
Alexis,132
Janne-Pekka,132
Roberto,132
Timur,132
Werneri,132
Fabian,131
Helmer,131
Kian,131
Ethan,130
Mahdi,130
Matti-Pekka,130
Sammy,130
Havu,129
Md.,129
Tuisku,129
Dylan,128
Juha-Petri,127
Roi,127
Sean,127
Bertil,126
Greger,126
Juhamatti,126
Juska,126
Clas,125
Finn,125
Hampus,125
Stanislav,125
Yahya,125
Kaj-Erik,124
Jasperi,123
Lemmy,123
Timothy,123
Aleks,122
Jaan,122
Juha-Petteri,122
Riku-Pekka,122
Ville-Markus,122
Atlas,121
Chris,120
Md,120
Uljas,120
Matvei,119
Miguel,119
Per-Olof,119
Emre,118
Mikko-Pekka,118
Jeremi,117
Rabbe,117
Tami,117
Emmanuel,116
Kristofer,116
Toomas,115
Weeti,115
Arman,114
Claes,114
Jamiel,114
Nuuti,114
Aksu,113
Oliwer,113
Patric,113
Abbas,112
Deniz,112
Isaac,112
Jouka,112
Malik,112
Måns,112
Riki,112
Valdemar,112
Anatoli,111
Curt,111
Huuko,111
Jaako,111
Pedro,111
Steven,111
Torolf,111
Kullervo,110
Mario,110
Vitali,110
Brian,109
Malte,109
Silvo,109
Carlo,108
Jussi-Petteri,108
Kustaa,108
Selim,108
Dmitrii,107
Jamal,107
Leonid,107
Jakke,106
Muhamed,106
Rudi,106
Sakarias,106
Harto,105
Marlo,105
Melker,105
Rolle,105
Wilho,105
Abdulkadir,104
Aston,104
Dominik,104
Matheo,104
Raoul,104
Asseri,103
Eki,103
Milko,103
Nestor,103
Pär,103
Bo-Erik,102
Eemu,102
Mauritz,102
Stephen,102
Sven-Erik,102
Diego,101
Eerikki,101
Ilya,101
Imran,101
Kalle-Pekka,101
Rio,101
Taavetti,101
Arimo,100
Mehdi,100
Ricardo,100
Riku-Petteri,100
Ruuben,100
Youssef,100
Arian,99
Auno,99
Elijah,99
Mahmoud,99
Musa,99
Nick,99
Valtter,99
Veetu,99
Vilmer,99
Khaled,98
Louis,98
Maximus,98
Mikki,98
Vili-Valtteri,98
Ante,97
Jussa,97
Kenny,97
Pepe,97
Pieti,97
Teodor,97
Ture,97
Ayman,96
Jan-Olof,96
Keimo,96
Tito,96
Claus,95
Jonah,95
Kaspar,95
Miron,95
Uolevi,95
Ilia,94
Jan-Henrik,94
Josua,94
Olav,94
Ray,94
Sander,94
Semi,94
Wili,94
Winston,94
Abdulrahman,93
Damian,93
Emppu,93
Jamie,93
