Sukunimi,Yhteensä
Käyhkö,926
Rönkä,926
Siira,926
Terho,925
Palokangas,923
Kajander,922
Könönen,922
Kaski,921
Stenman,921
Metsälä,920
Hellström,918
Koskelainen,917
Kuvaja,916
Karppanen,915
Mehtälä,914
Nokelainen,914
Suonpää,913
Juuti,911
Kaasalainen,911
Kallioniemi,910
Romppainen,909
Siponen,909
Pusa,908
Henttonen,907
Toropainen,906
Kulju,905
Luokkanen,905
Palviainen,905
Riekki,905
Kasurinen,904
Lindblom,903
Backlund,901
Kopra,901
Perkiö,901
Lohi,900
Klemola,899
Lievonen,899
Oksman,899
Pajula,899
Parkkila,899
Pöntinen,896
Kanniainen,895
Malin,894
Palola,894
Back,893
Häyrinen,893
Knuuttila,887
Nummelin,887
Mantere,886
Paldanius,884
Pöyry,883
Sandell,881
Isomäki,880
Naumanen,880
Heikkonen,879
Rouvinen,878
Smeds,878
Arponen,875
Toiviainen,875
Granqvist,873
Lund,873
Liimatta,872
Norrgård,871
Boman,870
Puolakka,870
Vesanen,869
Ruokolainen,868
Lahtela,865
Miettunen,864
Ukkola,864
Kotiranta,863
Myllyniemi,863
Haakana,862
Isoaho,862
Mäkynen,862
Kankare,858
Paaso,858
Kurtti,856
Luomala,856
Huovila,855
Lehtomäki,853
Vierimaa,851
Ahlqvist,850
Herrala,850
Isaksson,847
Sironen,847
Vähäkangas,847
Jurvanen,846
Pajari,845
Pyykönen,845
Räikkönen,844
Sorjonen,843
Laasonen,842
Silander,842
Särkkä,841
Hyyryläinen,840
Halinen,839
Ohtonen,839
Tuomikoski,837
Flink,836
Myller,835
Pernu,835
Berglund,834
Hagman,834
Suikkanen,834
Siren,832
Lahdenperä,830
Takalo,830
Haapasalo,829
Knuutinen,829
Valo,827
Lauronen,826
Vaarala,825
Launonen,824
Tammela,824
Niemistö,823
Engström,822
Huuhtanen,822
Kallioinen,822
Möttönen,820
Savola,819
Stenroos,819
Rask,817
Brandt,816
Schroderus,816
Vihavainen,816
Pakkala,814
Raivio,814
Rinkinen,814
Korkalainen,813
Riekkinen,812
Ruusunen,812
Viskari,811
Helle,810
Kurkinen,810
Malmi,809
Myyryläinen,809
Poikonen,809
Ristola,808
Saaristo,808
Viinikka,808
Wiik,807
Oinas,804
Korkala,803
Kujansuu,801
Reiman,801
Laurikainen,800
Hinkkanen,799
Haatainen,798
Husu,798
Ristolainen,797
Tuunanen,797
Paloniemi,796
Taskila,796
Vahtera,792
Rosendahl,791
Kinnari,789
Tikkala,789
Fredriksson,787
Koikkalainen,787
Kostiainen,785
Illikainen,784
Kantonen,784
Aikio,783
Havukainen,783
Pentti,783
Kojo,782
Lampi,782
Ylimäki,782
Bäckström,781
Lähdesmäki,781
Myllykangas,781
Koivuranta,778
Mertanen,778
Jakobsson,777
Kunnas,776
Ahvenainen,775
Hyppönen,773
Lepola,773
Maunula,773
Pölönen,773
Bäck,772
Nivala,771
Saarnio,771
Rosenqvist,768
Vento,766
Hagert,763
Ilola,763
Marin,763
Kankainen,762
Forsell,761
Kallunki,759
Keto,758
Pussinen,757
Riipinen,757
Tuisku,757
Uitto,757
Pohjolainen,756
Karhula,755
Taavitsainen,755
Pohjalainen,754
Pullinen,754
Laukka,753
Puska,753
Sorri,753
Tuohimaa,752
Huhtamäki,751
Hölttä,751
Järvensivu,751
Tanner,751
Grönberg,748
Ruhanen,748
Reinikka,747
Suojanen,747
Tammisto,747
Varonen,746
Käkelä,745
Viita,745
Hakonen,744
Pesola,744
Ahlfors,743
Rantalainen,743
Rutanen,743
Kurikka,741
