Etunimi,Lukumäärä
Ali,739
Isabelle,737
Kukka-Maaria,737
Josefine,735
Mariel,733
Ida-Maria,732
Merita,725
Jane,724
Rosanna,724
Maj-Lis,723
Doris,721
Mirkka,721
Elmiina,718
Suoma,716
Ilse,713
Jeanette,713
Siri,706
Catharina,705
Ilmi,703
Eve,702
Lemmikki,701
Lara,700
My,696
Christel,694
Emmiina,692
Linn,692
Christa,691
Eden,687
Antonia,686
Synnöve,686
Hanna-Maria,685
Tamara,681
Britta,679
Tara,674
Rebecka,672
Noomi,671
Angelina,667
Rosita,662
Fiia,661
Soilikki,661
Estelle,659
Ottilia,655
Therese,654
Eeva-Maria,653
Evelin,653
Marju,653
Sinna,653
Marian,652
Viveka,650
Larissa,642
Siina,642
Usva,639
Ann-Marie,638
Ria,638
Dagmar,637
Cristina,625
Silva,625
Anna-Sofia,624
Jelena,624
Ramona,619
Sarianna,619
Terese,617
Eivor,611
Jenniina,607
Galina,604
Pirjo-Riitta,604
Serafina,603
Catarina,602
Amina,598
Jannika,598
Anne-Maj,597
Louna,597
Sade,596
Mariana,590
Yasmin,590
Saini,584
Lidia,583
Evelia,582
Evelyn,582
Valeria,581
Anne-Maarit,580
Clara,579
Iida-Maria,576
Karina,571
Eriika,569
Angela,565
Fatima,565
Mariam,565
Ruusu,562
Susann,561
Ilta,560
Lenita,558
Marit,557
Hulda,555
Magdaleena,555
Liinu,551
Briitta,548
Henna-Riikka,545
Impi,542
Ritva-Liisa,540
Viveca,540
Jadessa,538
Augusta,536
Kristine,531
Naomi,530
Annemari,528
Sirja,527
Ulpu,522
Pirjo-Liisa,518
May,517
Aisha,513
Marikki,513
Ulriikka,510
Eija-Liisa,506
Pernilla,505
Ellinor,504
Maja,504
Margaret,504
Sani,502
Tua,500
Marissa,499
Svea,495
Karla,494
Pamela,494
Alise,491
Sienna,491
Carmen,489
Ireene,488
Ann-Christine,487
Soila,487
Bianca,486
Rianna,484
Meiju,482
Cassandra,479
Kaino,479
Sanna-Kaisa,479
Lumina,478
Nana,478
Gabriela,474
Teea,471
Eeva-Maija,468
Sanna-Maria,468
Aleksiina,467
Mandi,467
Inga-Lill,465
Kreetta,464
Margarita,464
Lia,462
Samira,462
Assi,461
Mari-Anne,461
Moa,458
Hellä,456
Hanneli,455
Lisbet,455
Esther,454
Roosa-Maria,454
Abdi,453
Odessa,450
Hannah,449
Freja,448
Annica,445
Angelika,441
Hannamari,441
Alexsandra,438
Vivi,438
Mariaana,437
Petriina,436
Märta,435
Annie,434
Kamilla,433
Catherine,432
Grace,432
Aallotar,431
Amira,431
Iitu,430
Ruusa,427
Alexia,425
Maryam,425
Alessia,423
Filippa,422
Margita,422
Mariela,418
Ann-Christin,417
Tuulevi,417
Hassan,416
Daria,415
Zahra,412
Leeni,411
Katrin,409
Marjanne,408
Sabrina,408
Klaudia,406
Liana,406
Eleanor,405
Riika,404
Marica,403
Liia,402
Lumikki,402
Meri-Tuuli,402
Theresa,401
Nenna,400
Melisa,399
Josephine,397
Else-Maj,396
Katharina,396
Gun-Britt,394
Kristin,390
Kirsi-Maria,389
Mariann,388
Sonia,388
Ninja,387
Hanna-Maija,386
Britt-Marie,385
Carla,385
Henriika,385
Merituuli,385
Kreeta,384
Maili,384
Hedvig,382
Jennika,382
Klara,382
Desiree,381
Lauriina,381
Lilly,380
Miira,380
Sarianne,380
Selena,380
Adina,379
Sofianna,379
Tiia-Maria,377
Lyyti,376
Maia,376
Nadia,376
Adalmina,375
Freya,374
Britt,373
Celina,373
Ylva,372
Ann-Sofi,371
Ingegärd,371
Jarna,370
Annabella,369
Armiida,369
Evita,369
Vaula,368
Jessi,367
Illusia,364
Ulriika,364
Barbara,363
Thea,363
Hellen,361
Myy,360
Auri,357
Anna-Lisa,355
Miila,354
Maj-Len,353
Mohammed,353
Lotte,351
Minna-Liisa,351
Leonora,350
Salma,350
Emelia,348
Mirja-Liisa,348
Susa,347
Adéle,346
Kajsa,346
Abdullahi,345
Leena-Maija,345
Anri,344
Ethel,341
Hilppa,341
Rosa-Maria,340
Minnea,339
Jenina,338
Ngoc,337
Maikki,336
Nette,335
Raija-Liisa,335
Mielikki,334
Nova,334
Sanja,334
Ainikki,333
Evi,332
Karelia,331
Ann-Sofie,330
Erna,330
Eva-Maria,326
Malviina,326
Denise,324
Suvi-Tuuli,324
Ksenia,323
Auni,322
Gerd,322
Natasha,322
Alviina,321
Kim,320
Marisa,319
Elmi,318
Klaara,318
Raita,318
Eriikka,317
Ann-Charlotte,316
Gunhild,315
Henriette,314
Molly,312
Dina,311
Anna-Lena,310
Isabell,310
Adriana,308
Martha,308
Petronella,308
Rut,308
Aino-Maria,307
Gretel,307
Eeva-Leena,304
Janniina,304
Sissi,304
Eeva-Kaisa,303
Anna-Kaarina,302
Telma,300
Caroliina,299
Pieta,299
Aniitta,298
Judith,298
Alessandra,297
Annamaria,297
Halla,297
Julie,297
Pauline,297
Theresia,297
Arja-Liisa,295
Eeva-Riitta,295
Alexa,294
Janet,293
Jannica,293
Tiiu,292
Vadelma,292
Salla-Mari,291
Valborg,291
Anastacia,290
Estella,290
Ilmatar,290
Simone,290
Stephanie,290
Tilde,290
Ariel,289
Hanna-Riikka,289
Jolanda,289
Lillemor,289
Margetta,289
Marke,289
Esmeralda,288
Jennie,288
Maija-Riitta,288
Clarissa,287
Marie-Louise,287
Marietta,287
Elli-Noora,286
Polina,286
Hussein,285
Kustaava,285
Suvi-Tuulia,285
Belinda,284
Juliet,284
Maini,284
Mariina,284
Hanni,283
Liv,283
Seidi,283
Anna-Riikka,282
Melanie,282
Rosaliina,282
Jana,280
Hanna-Liisa,279
Armida,278
Li,278
Desiré,277
Marion,277
Fia,276
Ilma,276
Disa,274
Rose-Marie,273
Hillervo,272
Malva,272
Eliana,271
Larisa,271
Vivia,271
Anh,269
Meimi,269
Annaliisa,268
Anna-Riitta,268
Salome,268
Thuy,268
Neelia,267
Ana,266
Liliana,266
Ninna,266
Ragnhild,266
Rosalia,266
Arja-Leena,265
Karola,264
Seelia,264
Arla,262
Kaija-Leena,262
Marta,262
Ariana,261
Elizaveta,261
Ann-Kristin,260
Gertrud,260
Hildegard,260
Leni,259
Sirke,257
Ulrica,256
Eeva-Kaarina,255
Joy,255
Tekla,255
Viia,254
Annakaisa,253
Emmy,253
Manta,253
Mei,253
Malena,252
Nancy,252
Tinka,251
Karen,250
Ingela,249
Katerina,249
Liudmila,249
Noona,248
Solja,248
Amy,247
Desirée,247
Gunborg,247
Minna-Maria,247
Aino-Maija,246
Ibrahim,246
Mina,246
Nadezda,246
Iia,245
Eedla,244
Sally,244
Antonina,243
Ellie,243
Göta,243
Viliina,242
Mimi,241
Sirpa-Liisa,241
Reea,240
Thu,240
Annabel,238
Bettiina,238
Sannamari,238
Omar,237
Phuong,237
Pia-Maria,237
Rachel,237
Severiina,237
Elsie,236
Ann-Louise,235
Annamaija,234
Celine,234
Pirjetta,234
Ani,233
Bodil,233
Yasmine,233
Piitu,232
Daniella,231
Helle,231
Kristel,231
Mercedes,231
Nicola,231
Sanna-Maija,231
Alla,230
Cindy,230
Margot,230
Serena,230
Valdine,230
Venny,229
Adela,227
Lemmitty,227
Meri-Tuulia,227
Merja-Liisa,226
Anitra,225
Bernice,225
Christin,225
Gunnevi,225
Heidi-Maria,225
Riitta-Leena,225
Tindra,225
Milma,223
Thanh,223
Laimi,222
Mahamed,222
Ulla-Riitta,221
Zainab,221
Adolfiina,220
Emili,220
Kaija-Liisa,220
Marija,220
Hjördis,219
Ann-Britt,218
Pilvikki,218
Vienna,218
Jasmi,217
Adalia,216
Elissa,216
Juliette,216
Tia-Maria,215
Ella-Maria,214
Tarleena,213
Sina,212
Suvituuli,212
Anne-Maija,211
Carin,210
Gudrun,210
Hellikki,210
Ingalill,210
Thelma,210
Kiti,209
Leia,209
Nia,209
Kiara,208
Lola,208
Nellie,208
Judit,207
Sallamari,207
Saskia,207
Satu-Maarit,207
Tiitu,207
Tuisku,207
Vivan,207
Amélie,206
Desire,205
Vilina,205
Sanna-Leena,204
Cornelia,203
Eleanora,203
Santra,203
Seliina,203
Anni-Maria,202
Milaja,202
Oksana,202
Ruska,202
Crista,200
Friida,200
Minna-Mari,200
Katinka,199
Nicolina,199
Jekaterina,198
Tyyni,198
Eelin,197
Rosalie,197
Sabine,197
Yulia,197
Annaleena,196
Eija-Riitta,196
Hille,196
Juni,196
Tanya,196
Etel,195
Leah,195
Abigail,194
Marjaleena,193
Merike,192
Sesilia,192
Alena,191
Betty,191
Fadumo,191
Ia,191
Ofelia,191
Saida,191
Ida-Sofia,190
Iira,190
Maria-Liisa,190
Anne-Marja,189
Elida,189
Leyla,188
Nelma,188
Rina,188
Ulla-Britt,188
Matintytär,187
Arina,186
Katherine,185
Suvi-Päivikki,185
Beda,183
Eufemia,183
Iman,183
Lyydi,183
Taiga,183
Gerda,182
Tatjaana,182
Adeline,181
Katri-Helena,181
Mohamud,181
Cia,180
Hedda,180
Abdirahman,179
Dana,179
Gurli,179
Janessa,179
Linh,179
Miona,179
Sarlotta,179
Tania,179
Antintytär,178
Celia,178
Lillian,178
Noelle,178
Nur,178
Selene,178
Wenla,178
Francesca,177
Inga-Britt,177
Niia,177
Isadora,176
Kaisa-Leena,176
Menni,176
Safia,176
Samantha,176
Jenita,175
Kaneli,175
Onneli,175
Eela,174
Eliisabet,174
Farah,174
Ljudmila,174
Majlis,174
Fiina,173
Louisa,173
Jennica,172
Miitta,172
Amal,171
Linne,171
Kastanja,170
Kata,170
Nanni,170
Paju,170
Pepita,170
Tiina-Liisa,170
Eimi,169
Hannaleena,169
Markit,169
Nilla,169
Ranja,169
Riitta-Maija,169
Maari,168
Marilla,168
Noor,168
Sivi,168
Ellida,167
Luisa,167
Mariette,167
Sara-Sofia,167
Eeda,166
Manuela,166
Paloma,166
Celeste,165
Darja,165
Elif,165
Aletta,164
Anisa,164
Eevastiina,164
Lee,164
Marinka,164
Senna,164
Lisen,163
Nikita,163
Safira,163
Henna-Maria,162
Hilpi,162
Maria-Leena,162
Milda,162
Estrid,161
Gloria,161
Tyra,161
Anceliga,160
Lisette,160
Minh,160
Abdulkadir,159
Inez,159
Liubov,159
Märtha,159
Veea,159
Xenia,159
Alida,158
Alyssa,158
Britt-Mari,158
Cesilia,158
Eea,158
Helén,158
Kaur,158
Miia-Maria,158
Mikontytär,158
Tarja-Leena,158
Virginia,158
Gisela,157
