Etunimi,Lukumäärä
Tekla,174
Denise,173
Arina,172
Rina,172
Tanya,172
Kaisa-Leena,171
Ngoc,170
Sally,170
Synnöve,169
Vivan,169
Annele,168
Anne-Marja,168
Lola,168
Suvi-Tuulia,168
Thelma,168
Gabriela,167
Lumina,167
Tiitu,167
Ariana,166
Ljudmila,166
Neelia,165
Sanelma,165
Tiina-Liisa,165
Tindra,165
Eliina,163
Martha,163
Karen,162
Myy,162
Stephanie,162
Friida,161
Annamaija,160
Kiara,160
Milma,160
Wenla,160
Alena,159
Meimi,159
Crista,158
Riitta-Maija,158
Hedda,157
Iira,156
Minnea,156
Ranja,156
Leyla,155
Liubov,155
Tarja-Leena,155
Ann-Charlotte,154
Hille,154
Menni,154
Adriana,153
Catherine,153
Iia,153
Kreeta,153
Annaleena,152
Nelma,152
Odessa,152
Theresa,152
Leah,151
Henna-Maria,150
Miitta,150
Cia,149
Katri-Helena,149
Belinda,148
Kata,148
Melanie,148
Natasha,148
Alessia,147
Anastasiia,147
Annabella,147
Ida-Sofia,147
Ilma,147
Raija-Leena,147
Amal,146
Anni-Maria,146
Paju,146
Santra,146
Sofianna,146
Tiia-Mari,146
Dana,145
Darja,145
Gudrun,145
Hjördis,145
Juni,145
Nilla,145
Oxana,145
Senna,145
Annamaria,144
Ann-Kristin,144
Hannaleena,144
Iman,144
Janniina,144
Alexia,143
Natalja,143
Tania,143
Adina,142
Janessa,142
Judith,142
Margaretha,142
Aino-Kaisa,141
Kim,141
Margot,140
Mariana,140
Celine,139
Ethel,139
Evgenia,139
Niia,139
Tiina-Maija,139
Anisa,138
Eeda,138
Hedvig,138
Ingegerd,138
Miia-Maria,138
Sahra,138
Yasmine,138
Inga-Lill,137
Miona,137
Renja,137
Sara-Sofia,137
Vienna,137
Eliana,136
Fredrika,136
Kaisa-Maria,136
Rose-Marie,136
Eela,135
Laimi,135
Leena-Kaisa,135
Ruska,135
Tarja-Liisa,135
Daniella,134
Lisen,134
Pirjo-Leena,134
Salla-Maria,134
Tuisku,134
Asma,133
Barbara,133
Eimi,133
Elsie,133
Gurli,133
Jenni-Maria,133
Leia,133
Milla-Maria,133
Estelle,132
Gertrud,132
Laura-Maria,132
Marian,132
Anna-Reetta,131
Ann-Louise,131
Cilla,131
Gunborg,131
Helle,131
Marie-Louise,131
Seelia,131
Therese,131
Alexa,130
Karola,130
Serena,130
Eleonoora,129
Hanne-Mari,129
Klaudia,129
Linne,129
Saara-Maria,129
Safia,129
Tilma,129
Anna-Elina,128
Etel,128
Gunhild,128
Malena,128
Marisa,128
Mia-Maria,128
Isra,127
Cristina,126
Ia,126
Khadija,126
Maria-Leena,126
Meri-Tuulia,126
Nina-Maria,126
Veea,126
Hilpi,125
Enja,124
Judit,124
Line,124
Ulla-Britt,124
Kanerva,123
Marja-Sisko,123
Nona,123
Noor,123
Betty,122
Elmiina,122
Hafsa,122
Jenita,122
Liliana,122
Marikki,122
Tyra,122
Angelika,121
Maria-Liisa,121
Oosa,121
Pulmu,121
Sera,121
Suvi-Päivikki,121
Iuliia,120
Vella,120
Adela,119
Gunnevi,119
Ingeborg,119
Nonna,119
Rania,119
Sanna-Liisa,119
Anna-Stina,117
Juliet,117
Lana,117
Tiina-Maria,117
Henna-Mari,116
Josephine,116
Lioudmila,116
Riikka-Liisa,116
Sivi,116
Tiina-Mari,116
Hilkka-Liisa,115
Sumaya,115
Katerina,114
Kristel,114
Ona,114
Rachel,114
Celia,113
Merituuli,113
Milaja,113
Nanni,113
Pälvi,113
Simone,113
Anna-Emilia,112
Eva-Liisa,112
Gun-Maj,112
Ingela,112
Jennica,112
Lulu,112
Pirre,112
Safa,112
Seija-Liisa,112
Sira,112
Antonina,111
Carin,111
Chloe,111
Nitta,111
Taiga,111
Vellamo,111
Zara,111
Beda,110
Iida-Sofia,110
Mei,110
Monna,110
Ritva-Leena,110
Jekaterina,109
Nadejda,109
Anna-Kristiina,108
Eea,108
Emili,108
Ghita,108
Annikka,107
Eeva-Marja,107
Eleanor,107
Olena,106
Satu-Maria,106
Sinja,106
Suvi-Maria,106
Talvikki,106
Aya,105
Dora,105
Elif,105
Grace,105
Hani,105
Katharina,105
Kitty,105
Linda-Maria,105
Marjaleena,105
Milda,105
Nicola,105
Ringa,105
Sirje,105
Unelma,105
Alex,104
Beea,104
Lucy,104
Marija,104
Nikita,104
Samantha,104
Sella,104
Viona,104
Lykke,103
Ragni,103
Ulla-Maria,103
Wilhelmina,103
Zeinab,103
Nadezhda,102
Nessa,102
Nicolina,102
Rilla,102
Saida,102
Terese,102
Vilda,102
Anja-Riitta,101
Daisy,101
Dorrit,101
Etta,101
Fiina,101
Gerda,101
Kaisa-Liisa,101
Miida,101
Märtha,101
Nada,101
Sonya,101
Ulla-Mari,101
Annabel,100
Inge,100
Majlis,100
Majvor,100
Merja-Riitta,100
Rhea,100
Saskia,100
Serafiina,100
Yrsa,100
Ann-Maj,99
Huda,99
Jetta,99
Li,99
Lillemor,99
Marion,99
Maryan,99
Tyyni,99
Viktoriia,99
Mariela,98
Thuy,98
Zoe,98
Alise,97
Alyssa,97
Ludmila,97
Nanne,97
Sabine,97
Tuike,97
Anne-Riitta,96
Ayla,96
Fatma,96
Hodan,96
Isabell,96
Riikka-Maria,96
Sari-Anne,96
Valpuri,96
Veela,96
Annaliisa,95
Dagny,95
Halima,95
Jolanda,95
Marja-Helena,95
Milea,95
Mirja-Leena,95
Tuula-Maija,95
Ayan,94
Dalia,94
Enya,94
Janiina,94
Lova,94
Milli,94
Peggy,94
Peppi-Lotta,94
Sallamaari,94
Ainu,93
Leonora,93
Ragnhild,93
Aimi,92
Ea,92
Emma-Sofia,92
Esme,92
Kate,92
Marwa,92
Tiuku,92
Ulrica,92
Annariina,91
Hanna-Riitta,91
Ljubov,91
Merike,91
Mianna,91
Minessa,91
Ewa,90
Gisela,90
Inez,90
Kiana,90
Melek,90
Nelle,90
Rinna,90
Eija-Leena,89
Amélie,88
Arja-Riitta,88
Hannakaisa,88
Maarika,88
Meja,88
Sharon,88
Tita,88
Venja,88
Anni-Mari,87
Anni-Sofia,87
Asha,87
Britt-Mari,87
Noelle,87
Emmi-Lotta,86
Manna,86
Nemi,86
Ronya,86
Sara-Maria,86
Thanh,86
Ann-Lis,85
Beeda,85
Kuura,85
Maud,85
Terja,85
Ulla-Marja,85
Adalia,84
Anna-Marja,84
Edda,84
Emma-Lotta,84
Gloria,84
Gunn,84
Jill,84
Kirsi-Maarit,84
Minnamari,84
Mirette,84
Noa,84
Tatja,84
Tiina-Riitta,84
Tutta,84
Abigail,83
Aicha,83
Hilde,83
Lauha,83
Lianna,83
Medina,83
Minna-Leena,83
Minna-Maarit,83
Minna-Riitta,83
Nimo,83
Rosaliina,83
Tiana,83
Esra,82
Hennariikka,82
Iryna,82
Kaisa-Mari,82
Maura,82
Nataliia,82
Rahma,82
Venni,82
Alba,81
Anna-Stiina,81
Hamdi,81
Jennina,81
Kirsimarja,81
Liisa-Maria,81
Meira,81
Sanna-Maarit,81
Anna-Karin,80
Anna-Katariina,80
Eerin,80
Gina,80
Jannina,80
Maida,80
Marjaliisa,80
Mitra,80
Nadine,80
Opri,80
Paola,80
Runa,80
Serafina,80
Ayaan,79
Freija,79
Gun-Lis,79
Helin,79
Inga-Britt,79
Irja-Liisa,79
Manda,79
Mariann,79
Minda,79
Renata,79
Rosalia,79
Sahar,79
Sini-Maria,79
Tuula-Marja,79
Urpu,79
Vivien,79
Jenna-Maria,78
Katherine,78
Lillian,78
Maj-Gret,78
Mindi,78
Ariel,77
Farah,77
Hanna-Reetta,77
Juliette,77
Malak,77
Minella,77
Mirikli,77
Sarina,77
Sylva,77
Ulla-Maj,77
Uma,77
Amiira,76
Eelin,76
Gunn-Britt,76
Layla,76
Minna-Kaisa,76
Neve,76
Petriina,76
Raini,76
Teresia,76
Aniitta,75
Anitra,75
Eda,75
Emina,75
Hanan,75
Lauriina,75
Marja-Kaisa,75
Nika,75
Penni,75
Salla-Maaria,75
Satu-Marja,75
Una,75
Anne-Kristiina,74
Estrid,74
Gitte,74
Janetta,74
Maryama,74
Merja-Leena,74
Norma,74
Safiya,74
Yusra,74
Hellen,73
Jamila,73
Metti,73
Sunna,73
Yana,73
Ann-Katrin,72
Fatemeh,72
Flora,72
Meija,72
Rauna,72
Shukri,72
Zahraa,72
Adanna,71
Albina,71
Cornelia,71
Dania,71
Hilve,71
Leonie,71
Lyydi,71
Mirkku,71
Nanette,71
Niina-Maria,71
Tiina-Kaisa,71
Unni,71
Varvara,71
Anastassia,70
Anna-Karoliina,70
Anna-Lotta,70
Cajsa,70
Elda,70
Kristin,70
Mella,70
Naima,70
Najma,70
Pirta,70
Tianna,70
Vanja,70
Adeline,69
Chiara,69
Donna,69
Emelia,69
Hana,69
Jenni-Mari,69
Kristine,69
Lotta-Maria,69
Thu,69
Alia,68
Elissa,68
Gitta,68
Mari-Anna,68
Marja-Kaarina,68
Oivi,68
Salla-Maarit,68
Suvituuli,68
Tiila,68
Adalmina,67
Anna-Maaria,67
Anu-Riikka,67
Estella,67
Gia,67
Jonna-Maria,67
Kikka,67
Nelia,67
Pirkko-Leena,67
Ruu,67
Sanna-Riikka,67
Ulriikka,67
Violetta,67
Yasemin,67
Alessandra,66
Anja-Liisa,66
Anya,66
Elli-Maija,66
Engla,66
Henny,66
Ifrah,66
Iina-Maria,66
Raina,66
Sini-Tuulia,66
Soraya,66
Suzan,66
Venna,66
Vida,66
Aisla,65
Anki,65
Anne-Marita,65
Aria,65
Emine,65
Evy,65
Heili,65
Kaija-Riitta,65
Kirsi-Mari,65
Kseniia,65
Liisa-Maija,65
Mariina,65
Nea-Maria,65
Rana,65
Savanna,65
Sole,65
Tova,65
Tuva,65
Valborg,65
Zaida,65
Aino-Sofia,64
Anni-Kaisa,64
Bettiina,64
Corinne,64
Eeva-Mari,64
Eriika,64
Hiba,64
Juli,64
Liida,64
Melody,64
Riina-Maria,64
Roza,64
Sundus,64
Velma,64
Adna,63
Bernice,63
Cara,63
Emmi-Sofia,63
Ilana,63
Inge-Maj,63
Lene,63
Marje,63
Merika,63
Pepita,63
Phuong,63
Sanne,63
Silla,63
Sirkka-Leena,63
Eliza,62
Hinni,62
Jada,62
Lise,62
Liselott,62
Maritza,62
Mona-Lisa,62
Noora-Maria,62
Riitu,62
Sidra,62
Tii,62
Wera,62
Aana,61
Anna-Riina,61
Brianna,61
Esma,61
Halimo,61
Kersti,61
Marjo-Riikka,61
Miili,61
Ottilia,61
Suzanne,61
Valo,61
